map,result,ally1,ally2,ally3,enemy1,enemy2,enemy3,timestamp
15000548,1,16000036,16000023,16000058,16000012,16000099,16000046,20260406T042906.000Z
15000548,1,16000036,16000012,16000046,16000005,16000042,16000014,20260406T042050.000Z
15000548,0,16000036,16000012,16000046,16000005,16000042,16000014,20260406T041852.000Z
15000548,1,16000036,16000012,16000046,16000005,16000042,16000014,20260406T041649.000Z
15000368,1,16000030,16000065,16000099,16000094,16000025,16000023,20260406T041050.000Z
15000368,1,16000030,16000065,16000099,16000094,16000025,16000023,20260406T040932.000Z
15000115,1,16000014,16000020,16000023,16000095,16000007,16000008,20260406T040535.000Z
15000115,1,16000014,16000020,16000023,16000095,16000007,16000008,20260406T040343.000Z
15000115,0,16000014,16000020,16000023,16000095,16000007,16000008,20260406T040133.000Z
15000019,1,16000102,16000002,16000075,16000083,16000003,16000071,20260406T035707.000Z
15000019,1,16000102,16000002,16000075,16000083,16000003,16000071,20260406T035453.000Z
15000007,1,16000012,16000081,16000004,16000001,16000011,16000070,20260406T035110.000Z
15000007,1,16000012,16000081,16000004,16000001,16000011,16000070,20260406T034933.000Z
15000053,1,16000007,16000075,16000001,16000071,16000026,16000102,20260406T034523.000Z
15000053,1,16000007,16000075,16000001,16000071,16000026,16000102,20260406T034317.000Z
15000368,1,16000015,16000006,16000023,16000076,16000089,16000048,20260406T033837.000Z
15000368,0,16000015,16000006,16000023,16000076,16000089,16000048,20260406T033539.000Z
15000368,1,16000015,16000006,16000023,16000076,16000089,16000048,20260406T033239.000Z
15000019,1,16000099,16000103,16000078,16000001,16000042,16000075,20260406T170119.000Z
15000019,0,16000099,16000103,16000078,16000001,16000042,16000075,20260406T165831.000Z
15000019,1,16000099,16000103,16000078,16000001,16000042,16000075,20260406T165547.000Z
15000292,1,16000014,16000085,16000005,16000099,16000098,16000097,20260406T164759.000Z
15000292,0,16000014,16000085,16000005,16000099,16000098,16000097,20260406T164528.000Z
15000292,1,16000014,16000085,16000005,16000099,16000098,16000097,20260406T164257.000Z
15000083,1,16000097,16000098,16000042,16000094,16000061,16000005,20260406T160908.000Z
15000083,1,16000097,16000098,16000042,16000094,16000061,16000005,20260406T160650.000Z
15000132,1,16000012,16000029,16000001,16000004,16000047,16000083,20260406T153602.000Z
15000132,1,16000012,16000029,16000001,16000004,16000047,16000083,20260406T153424.000Z
15000018,1,16000079,16000099,16000094,16000026,16000015,16000001,20260406T152359.000Z
15000018,1,16000079,16000099,16000094,16000026,16000015,16000001,20260406T152151.000Z
15000018,0,16000079,16000099,16000094,16000026,16000015,16000001,20260406T151944.000Z
15000440,1,16000009,16000081,16000018,16000092,16000103,16000003,20260406T173739.000Z
15000025,1,16000083,16000089,16000023,16000098,16000026,16000030,20260406T174605.000Z
15000025,1,16000083,16000089,16000023,16000098,16000026,16000030,20260406T174417.000Z
15000025,1,16000004,16000059,16000083,16000063,16000002,16000011,20260406T173946.000Z
15000025,1,16000004,16000059,16000083,16000063,16000002,16000011,20260406T173645.000Z
15000018,0,16000015,16000001,16000012,16000078,16000099,16000040,20260406T173238.000Z
