map,result,ally1,ally2,ally3,enemy1,enemy2,enemy3,id,order_index
15000072,0,16000078,16000079,16000012,16000015,16000046,16000004,f2d54842e02bc5a9a9dd821733065ba0,26
15000132,0,16000002,16000102,16000063,16000026,16000083,16000098,eb2f0ab2ed1cb42185140221f1311708,27
15000132,0,16000002,16000102,16000063,16000026,16000083,16000098,4dd3b5855c07a7304b585e4e1d1b8a39,28
15000072,1,16000099,16000012,16000042,16000059,16000065,16000039,025c38c23b588ebddd3008b177cd18ca,29
15000072,1,16000099,16000012,16000042,16000059,16000065,16000039,1864c95c410b5833e79a6a5f7a190a01,30
15000005,1,16000065,16000020,16000023,16000042,16000001,16000061,64797406de93c0a446d5af5c586c7814,31
15000005,1,16000065,16000020,16000023,16000042,16000001,16000061,3835c907ed6f7ac91f855b071b761cf6,32
15000440,0,16000087,16000025,16000023,16000102,16000001,16000022,e4034558e34ce286a54ce141a90f4e17,33
15000440,0,16000087,16000025,16000023,16000102,16000001,16000022,b914122373a7f32ddad05560fd68702d,34
15000703,1,16000000,16000004,16000042,16000076,16000018,16000061,8e7a92841eefcf45a101b921d256b6fc,35
15000703,1,16000000,16000004,16000042,16000076,16000018,16000061,5c9237037dc18cd03921085ff21620bd,36
15000010,1,16000063,16000042,16000009,16000004,16000083,16000052,3fc04024e7604330c3ef740ff713cb49,37
15000010,0,16000063,16000042,16000009,16000004,16000083,16000052,66df86476db016f19a83b5a7562b39e3,38
15000010,1,16000063,16000042,16000009,16000004,16000083,16000052,64c6cdbee54342d33fcca6bed24a6cb8,39
15000082,0,16000090,16000044,16000079,16000059,16000011,16000021,1a373aa62836970f2b8103100b8ca699,40
15000082,0,16000090,16000044,16000079,16000059,16000011,16000021,393762e0a4f7a8f90b2f78c42e2b5676,41
15000703,1,16000090,16000021,16000042,16000036,16000003,16000023,2190c41a0befd991b05c758c18b1bda2,42
15000703,1,16000090,16000021,16000042,16000036,16000003,16000023,9316716a5743ec2fc6ea9b8302f618d4,43
15000082,0,16000093,16000021,16000044,16000011,16000046,16000005,69b40f287d7b3027b8938f59092a189a,44
15000082,0,16000093,16000021,16000044,16000011,16000046,16000005,1a8ad5d44cc69f2c01c63f9219ecb01f,45
15000082,1,16000093,16000021,16000044,16000011,16000046,16000005,ee5b48a322003f4ffb8abae4536cbf9a,46
15000132,0,16000005,16000084,16000011,16000089,16000099,16000103,816dcc879a4fd67904e1390d91e85e41,47
15000132,0,16000005,16000084,16000011,16000089,16000099,16000103,46ca0a7c3200f7c75213545a1f92f1a1,48
15000010,1,16000044,16000023,16000084,16000095,16000059,16000089,bba9c7a2438d2447e7fa3f2cc09dc749,49
15000010,1,16000044,16000023,16000084,16000095,16000059,16000089,cc5319b4b911784907c7b18c9d5bf40a,50
15000018,1,16000079,16000023,16000078,16000036,16000025,16000046,e2a723dc5b8f5ca83c1a389360859763,51
15000018,1,16000079,16000023,16000078,16000036,16000025,16000046,0844ce4ce7ce48404df6d03848540305,52
15000292,0,16000012,16000002,16000086,16000005,16000099,16000020,4f092c21fdaf37eddc719eefaf115d6f,53
15000292,0,16000012,16000002,16000086,16000005,16000099,16000020,d1c09c566ccd6ce44e17fb92981d1173,54
15000703,1,16000090,16000064,16000005,16000003,16000029,16000061,f4bdff7a32a477255ef0f76bc78ae063,55
15000703,1,16000090,16000064,16000005,16000003,16000029,16000061,d5308840b6161fc75326587bb81275ef,56
15000115,1,16000012,16000035,16000017,16000063,16000023,16000040,f3e905ca2887650a541aa3fd54b782d1,57
15000115,1,16000012,16000035,16000017,16000063,16000023,16000040,67f31d5b2b35f438d6d56b95ee993e8b,58
15000118,1,16000067,16000012,16000084,16000081,16000063,16000023,46f5b83f5cc039bdfd78f026833e5eaa,59
15000118,1,16000067,16000012,16000084,16000081,16000063,16000023,659f6d43a368233fc252922987d03dd5,60
15000440,1,16000090,16000021,16000012,16000003,16000023,16000098,d0818cafb920beb2c46f23db95f6b7b6,61
